,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
59,Kazakhstan,5.79,1.143,1.516,0.454,0.148,2018,5.809,1.173,1.508,0.41,0.146,2019,6.057899952,1.122594237,1.453267694,0.497432142,-0.068488635,0.153713793,2020,6.152,1.23,1.103,0.573,-0.069,0.143,2021,6.234,"1,668","1,220",0.584,"0,134",2022
60,Cyprus,5.762,1.229,1.191,0.423,0.202,2018,6.046,1.263,1.223,0.406,0.19,2019,6.15899992,1.21279943,1.149170756,0.459385872,0.043731496,0.227932334,2020,6.223,1.377,0.765,0.464,-0.015,0.178,2021,6.221,"1,815","0,909",0.448,"0,123",2022
61,Bolivia,5.752,0.751,1.223,0.606,0.141,2018,5.779,0.776,1.209,0.511,0.137,2019,5.747499943,0.730976343,1.142350554,0.5744645,-0.09168113,0.138375074,2020,5.716,0.842,0.782,0.6,-0.077,0.138,2021,5.6,"1,256","0,880",0.627,"0,112",2022
62,Estonia,5.739,1.2,1.532,0.553,0.086,2018,5.893,1.237,1.528,0.495,0.103,2019,6.021800041,1.192441225,1.453232527,0.576664805,-0.111697771,0.125136748,2020,6.189,1.344,1.079,0.641,-0.106,0.119,2021,6.341,"1,793","1,232",0.689,"0,123",2022
63,Paraguay,5.681,0.835,1.522,0.541,0.162,2018,5.743,0.855,1.475,0.514,0.184,2019,5.692100048,0.897990823,1.36819756,0.586510062,0.007997713,0.204299241,2020,5.653,0.983,0.97,0.602,0.028,0.206,2021,5.578,"1,409","1,130",0.629,"0,171",2022
64,Peru,5.663,0.934,1.249,0.53,0.092,2018,5.697,0.96,1.274,0.455,0.083,2019,5.796800137,0.91854918,1.208405972,0.513210058,-0.16238822,0.091611817,2020,5.84,0.986,0.833,0.536,-0.154,0.087,2021,5.559,"1,397","0,865",0.545,"0,090",2022
65,Kosovo,5.662,0.855,1.23,0.448,0.274,2018,6.1,0.882,1.232,0.489,0.262,2019,6.325200081,0.840481341,1.183962822,0.557280421,0.190933764,0.325286865,2020,6.372,0.937,0.807,0.593,0.257,0.356,2021,6.455,"1,362","0,949",0.599,"0,309",2022
66,Moldova,5.64,0.657,1.301,0.232,0.171,2018,5.529,0.685,1.328,0.245,0.181,2019,5.607500076,0.707916796,1.237312198,0.389571488,-0.037741039,0.174049184,2020,5.766,0.985,0.888,0.536,-0.079,0.137,2021,5.857,"1,417","1,008",0.561,"0,102",2022
68,Hungary,5.62,1.171,1.401,0.259,0.061,2018,5.758,1.201,1.41,0.199,0.081,2019,6.000400066,1.164307117,1.423009396,0.386401802,-0.194323018,0.070491239,2020,5.992,1.301,1.083,0.454,-0.186,0.067,2021,6.086,"1,748","1,233",0.485,"0,078",2022
70,Philippines,5.524,0.775,1.312,0.643,0.12,2018,5.631,0.807,1.293,0.558,0.117,2019,6.006000042,0.775120676,1.245381713,0.621915162,-0.105463006,0.129260212,2020,5.88,0.853,0.828,0.651,-0.097,0.125,2021,5.904,"1,268","0,912",0.678,"0,107",2022
71,Honduras,5.504,0.62,1.205,0.459,0.197,2018,5.86,0.642,1.236,0.507,0.246,2019,5.953199863,0.598763585,1.186664104,0.568148077,0.086969115,0.256528199,2020,5.919,0.703,0.787,0.578,0.081,0.241,2021,6.022,"1,111","0,885",0.582,"0,202",2022
73,Turkey,5.483,1.148,1.38,0.324,0.106,2018,5.373,1.183,1.36,0.195,0.083,2019,5.131800175,1.127169251,1.197159171,0.25440076,-0.171046436,0.085885569,2020,4.948,1.26,0.809,0.236,-0.139,0.097,2021,4.744,"1,707","0,865",0.209,"0,087",2022
74,Pakistan,5.472,0.652,0.81,0.334,0.216,2018,5.653,0.677,0.886,0.313,0.22,2019,5.69329977,0.616799474,0.872979581,0.405421734,0.04489987,0.228705063,2020,4.934,0.637,0.423,0.418,0.098,0.252,2021,4.516,"1,049","0,413",0.448,"0,181",2022
76,Portugal,5.41,1.188,1.429,0.562,0.055,2018,5.693,1.221,1.431,0.508,0.047,2019,5.910900116,1.168800831,1.339530349,0.589895189,-0.220714301,0.053036947,2020,5.929,1.323,0.939,0.621,-0.244,0.029,2021,6.016,"1,760","1,078",0.655,"0,016",2022
